target,source,cosine_similarity,dialect
المطبخ مُغَطَّى في النملِ.,المطبخ مغطي بالنمل,0.97618306,Egyptian
قال أنّها مصدر السحر كلّه وكانت تبدو تماماً كهذه,قال انها مصدر السحر كله وكانت تبدو تماما كده,0.9761711,Egyptian
لا يهمني الأمر - توقفي -,بجد مش يهمني,0.97615916,Egyptian
"لقد كان هناك,حوالي,80 طفلاَ يأخذون أدواراً لركوب الخيل لأول مرة في حياتهم",كان حوالى 80 طفل بيشتركوا فى ركوب الخيل لأول مرة فى حياتهم,0.97614276,Egyptian
إنّي ألتقي بكلّ أنواع الناس.,أنا بقابل كل أنواع الناس.,0.9760953,Egyptian
.. لكنه ليس متاكداً هو متأكد -,.. بس هو مش متأكد لسه هو متأكد,0.9760651,Egyptian
♪ على الطريق الطويل ♪,♫ ع الطريق الطويل ♫,0.97605306,Egyptian
اعتقدت بأن عليك ان تعرف وحسب,اعتقدت انك لازم تعرف بس كده,0.97602624,Egyptian
إذاً فإن هذا أطول حلم موجود,كده يبقى ده اطول حلم موجود,0.9760185,Egyptian
اخذت سيارة اجرة إلى عملي في واحدة من افضل مستشفيات مانهاتن,خدت تاكسي لحد شغلي في واحدة من أحسن مستشفيات مانهاتن,0.9759346,Egyptian
"نعم,هذا كان رأيي الاولي",آه، ده كان رأيي الأولي,0.9759289,Egyptian
كنت أقوم بكل العمل,كنت بعمل كل الشغل,0.9758887,Egyptian
بعد ذلك فن الدفاع باستخدام التشكيل الخماسي الهجومي والدفاعي...,وبعدين فن الدفاع باستخدام التشكيل الخماسى الهجومى والدفاعى...,0.97581744,Egyptian
ولا الشجرة ولا النهر,و لا الشجرة ولا نهر,0.97581697,Egyptian
-ماذا؟ -عمل الفيديو كان فكرتى,-ايه؟ -فكرة تصوير الفيديو كانت منى,0.97579396,Egyptian
.شكرًا لك - .جيد. جيد -,شكرًا لك - كويس. كويس -,0.97579265,Egyptian
يمكن ان نبني مصانع ل توليد الحرارة كافية,ممكن نبنى مصانع لتوليد الحرارة تكفي,0.97574145,Egyptian
- إنه خطر لابد أن نتعامل معه -,- إنه خطر لابد إننا نتعامل معاه. -,0.97571135,Egyptian
لأنك أنت انت وأنا انا,عشان إنت أنت وأنا أنا,0.9756721,Egyptian
أنا هنا منذ العاشرة صباحا,أنا هنا من العاشرة الصبح,0.97565496,Egyptian
"- صحيح , لقد كنت مع فتاة",- صح، أنا كنت مع البنت,0.9756427,Egyptian
هنا القتل البطيئ بالضرب في الأصفر,ده القتل البطيء بالضرب فى الاصفر,0.9756071,Egyptian
أستعمل طريقة علاج تحاكي المحفز الكهربائي بالدماغ.. باستعمال الضوء والصوت.,بستعمل طريقة علاج بتمثل المحفز الكهربائي للدماغ.. باستخدام الضوء والصوت.,0.97560215,Egyptian
.. إلى أن تحترق روحى فى الجحيم,لحد ما روحى تحترق فى الجحيم,0.9755764,Egyptian
القرش هو أكثر الأسماك الكاريزمية في المحيط.,القرش هو أكثر الأسماك كاريزما في البحر.,0.975528,Egyptian
القهوة جاهزة لقد أتيت,القهوة جاهزة وصلت,0.9755273,Egyptian
إذًا، اليوم هو اليوم الكبير ؟,خلاص اليوم هو اليوم الكبير؟,0.97549963,Egyptian
-يجب أن أعود قبل الساعة 11: 00 مساءاً,-لازم ارجع قبل الساعة 11: 00 مساء,0.9754807,Egyptian
انا فقط سعيدة انكِ بخير,أنا بس سعيدة إنك كويسة,0.9754611,Egyptian
انا لدى مفاجأة أخرى لك.,عندي مفاجأة تانية ليك,0.9753844,Egyptian
يجب أن تتجاوز مخاوفك و تستعيد سيطرتك,لازم تتغلب على مخاوفك وتستعيد السيطرة,0.9753562,Egyptian
إبتعدوا إبتعدوا عنّي,ابعدي عني,0.9753545,Egyptian
-لا، لا، لا، أبعداها من هنا .,- لأ، لأ، لأ، أبعدوها من هنا.,0.97531366,Egyptian
الممرضات يغيرون النوبه كل عشرون دقيقه,الممرضات بيغيروا النوبة كل عشرين دقيقه,0.97529745,Egyptian
لكنني لستُ جزء من ذلك,لكن أنا مش جزء من ده,0.97526306,Egyptian
تلك البقرة هي أختي,البقرة دي أختي,0.97523427,Egyptian
هي فخرُ جامعتِنا.,هي فخر جامعنا.,0.9752202,Egyptian
شكراً (مايك) ، فكري بالأمر,مشكور (مايك)، فكر في الأمر,0.9751951,Egyptian
لدينا هنا مثال للجمال,عندك هنا مثال للجمال,0.97517645,Egyptian
ـ أجل ـ حسناً ، لكنها كانت حفلة عظيمة,- طيب - كويس بس كانت حفلة عظيمة,0.9751319,Egyptian
-سعيد جداً لمقابلتك .,- أسعدني التعرف عليك أوي.,0.9751229,Egyptian
-أنا جدياً أشك بذلك أنا متأكد أنها كانت تحاول إخافتك فقط,-أنا جدياً أشك في ده.. أنا متأكد إنها كانت بتحاول تخوفك بس,0.9751011,Egyptian
.. إنها فى الأعلى على السرير - يا إلهى، تيم,.. إنها فوق على السرير - ياترى، تيم,0.9750458,Egyptian
وسوف يقلق لو علم أني سقطت,و ه يقلق لو عرف إنى وقعت,0.97503597,Egyptian
- ما هو السبب في أننا لاحظنا... .. كنت نسيت الشراب الخاص بك.,- ايه السبب اننا لاحظنا .. انته نسيت الشراب بتاعتك .,0.9750093,Egyptian
"إذن أنتِ ... تحصلين على شيكات الإيجار كل شهر , و",يعني إنتى... بتاخدى شيكات الأيجار كل شهر، و,0.9748467,Egyptian
لاحظتهم، وهم لاحظوا بأنّك لاحظتهم.,لاحظتهم، وهم لاحظين إنك لاحظتهم.,0.974791,Egyptian
لقد إغتنمت فرصة و أنقذت حياتي.,اغتنمت الفرصة و انقذت حياتي,0.97479093,Egyptian
الورود تشير إلى الحب والرومانسية.,الورود بتدل على الحب والرومانسية.,0.9747757,Egyptian
يمكنكِ أن تحظي بحياة أفضل من هذه.,انت ممكن تعيشي حياة احسن من كده.,0.9747721,Egyptian
هل تعرف من انا؟,عايزة تعرف مين أنا؟,0.9747673,Egyptian
إنه مات ،من قبل ان تصل النيران اليه.,هو كان مات قبل ما النار توصل ليه,0.9747551,Egyptian
قمت بمعالجة الناس خلال المراحل الخمس لحزنهم,انا عالجت ناس كتير فى المراحل الخمسة بتاعت الحزن,0.9747472,Egyptian
حتى أني غيرت تخصصي من الدين إلى الدراسات العربية.,حتى أني غيّرت تخصصي من الدين للدراسات العربية.,0.97469735,Egyptian
".فيالواقع,يمكنأننكون أسوأ منذلك",.في الحقيقة، إحنا ممكن نكون أسوأ من كدة,0.97466767,Egyptian
هل تعرفين أين مكانه ؟,بتعرفى مكانه فين؟,0.97466296,Egyptian
حسنًا، ما هي عاصمة ولاية تكساس؟,وفي ايه عاصمة ولاية تكساس؟,0.974584,Egyptian
"حسناً يا عزيزي, ماهو اسمك؟",خير يا حبيبي، إسمك إيه؟,0.9745619,Egyptian
إنه شكل جيد.,هو شكل كويس.,0.97448707,Egyptian
ولا أعلم ماذا حدث إلى سام.,و لا أعرف ماذا حدث و سام,0.9744836,Egyptian
لا ، عميلنا هناك قال ان هذا القاتل غادر يوغوسلافيا هذا الصباح,لا.. عميلنا هناك قال إن ذلك القاتل غادر يوغسلافيا هذا الصباح,0.9744703,Egyptian
او تتبعوه اذا اخترتم ذلك,أو اتبعوه لو بتختارو كده,0.9744447,Egyptian
ضحايا حرائق الوجه يرتدون قناعاً واضحاً اثناء العلاج,ضحايا حروق الوجه يرتدون قناع شفاف خلال فترة العلاج,0.97434896,Egyptian
لأن الشرطة قد تراقب المكتب.,لان البوليس ممكن يراقب المكتب.,0.9743188,Egyptian
طوال الأسبوع و أنت تعاملنى هكذا و بدون سبب,طوال الاسبوع ده وانت بتعاملني كدا و من غير سبب,0.9742979,Egyptian
شكراً لكم... شكراًجزيلاً.,شكرًا لك شكرا لك,0.974277,Egyptian
حوالي 750 ميلاً على الأرجح,حوالى 750 ميل,0.97423935,Egyptian
"من هنا, مال, وعسل, أنا آسف",من هنا يا مال وعسل وأنا اسفة,0.9741649,Egyptian
لكنك كنت غائب بشكل واضح من التدريبات مند يوم الخميس 6 ديسمبر.,ولكنك كنت غائب بشكل كبير من التدريبات من يوم الخميس 6 ديسمبر.,0.97405076,Egyptian
"هيّا, حسنٌ هيّا, هيّا",تعالى يالا تعالى,0.97403806,Egyptian
- سامحيني على هذا -,- سامحيني على ده -,0.9739925,Egyptian
إذا هو يفقد السيطرة ؟,لو هو يفقد التحكم؟,0.9739566,Egyptian
و لم تكن المرة الأولى يجب ان نخرجهم من هنا,مش كان أول مرة لازم نخرجهم من هنا,0.9739542,Egyptian
لقدقاللي ،أنه يجب علي العودة.,قالى أنى لازم أرجع,0.97390413,Egyptian
-أجل، أجل، بالتّاكيد، بالطّبع,-أكيد طبعا,0.97387767,Egyptian
-قدّ فات الأوان على ذلك ، يا صاح .,- فات الآوان يا صاحبي قدّ,0.97386783,Egyptian
حسنا،لا يمكن أن يكون بذلك السوء أليس كذلك؟,طبعا لا يمكن أن يكون سيئًا بهذا الشكل أليس كذلك؟,0.9737731,Egyptian
لم أكن أعلم أنك هنا,مش كنت عارف إنك هتكوني هنا,0.9737633,Egyptian
أعلم أنني ارتكبت بعض الأخطاء الفادحة.,أنا عارف إني غلطت غلطات بالجد,0.9736695,Egyptian
هذه الطيور يكونوا غير عاديين لسبب أخر. -عششهم,دي الطيور تكون غير عادية لسبب تاني.-عششهم,0.9736627,Egyptian
"حسنا , انت بخير , انت بخير , انت بخير","تمام , أنت كويس , أنت كويس , أنت كويس",0.9736241,Egyptian
"أنها أعلى بناية, أعلى شقة في المنطقة.",هي اعلي عمارة واعلي شقة في المنطقة,0.9736141,Egyptian
. -واقسم لك إنها الحقيقة,- اقسم لك بالله انها الحقيقة,0.9735397,Egyptian
أي أن الجثث تدفن هنا منذ ما يقارب الـ 300 عاماً,يعني الجثث متدفنه هنا من حوالى 300 سنه,0.9735392,Egyptian
ضع ذلك في جيبك.. قريباً من قلبك,حطها في جيبك.. جنب قلبك,0.9735192,Egyptian
كان هنالك نوع من الانفجار,كان في نوع من الانفجار,0.97350883,Egyptian
-تعني روح الأرض,روح الأرض يعنى,0.973508,Egyptian
حتى إذاهو مكان صغير، الواحد يجب أن يكون عنده قلب كبير,وحتى لو هو مكان صغير، يبقى الواحد لازم يكون قلبه كبير,0.973432,Egyptian
زيارة الرئيس يعني أنهم أولويات التهديدات المحتملة إلى ثلاث مجموعات.,زيارة الرئيس بتعنى انهم بيحددوا أولويات التهديدات المحتملة لـ 3 مجموعات.,0.97341263,Egyptian
هل تحتاج إلى المساعدة في التنظيف ؟,محتاجة مساعدة في التنظيف؟,0.9734026,Egyptian
ماذا... فأنت قلق من السعادة؟,إيه.. بتقلق من السعادة؟,0.97337234,Egyptian
ولكنّ قلبه طيب,بس قلبه طيب,0.9733217,Egyptian
انا اعلم ان هناك شرف بك يكفي لذلك,أنا عارف إن فيها شرف يكفيك,0.97331333,Egyptian
-أعرف ما الذى تعنيه,أعرف، ما تقصدش كدة,0.9733107,Egyptian
هل تعتقدين أن هذا خوف من النجاح ؟,أتعتقدي أن دي حاجة خوف من النجاح؟,0.9732587,Egyptian
أتمنى أن يطلبوا حتى يسمعوني أقول,أتمنى إنهم يطلبوا لغاية ما يسمعوني أقول,0.9732584,Egyptian
خشيت أمريكا وبريطانيا من أن يشكل هذا تهديدًا لقناة السويس,وخافت أمريكا وانجلترا ان يشكل هذا تهديدا لقناة السويس,0.97318006,Egyptian
هل عند الوفد إقتراح؟,هل الوفد عنده اقتراح؟,0.9731736,Egyptian
محظوظ بالنسبة لك أنا أحب شعر الوجه.,حظك كويس اني بحب شعر الوجه,0.9731523,Egyptian
ذلك يعتمد على من تسأل. البعض يقول أنّ الزمن يستمر إلى الأبد.,ده يعتمد على مين تسأل. فيه ناس تقول إن الزمن بيستمر للأبد.,0.97314376,Egyptian
نحن سنخلق وسيلة بسيطة لاجراء محادثة بين عقلك الواعي وعقلك اللاوعي في عقلك,إحنا هانخلق طريقة بسيطة عشان تحصل محادثة بين عقلك الواعي وعقلك اللاواعي جوا عقلك,0.97301495,Egyptian
- أنا لا أعرف، كنت تقول لي.,- مش عارفة، كنت بتقول لي.,0.97299874,Egyptian
بعد 84 يوماً فقط من تحرّر آوشفيتس كان الجيش الأحمر في برلين,بعد 84 يوم بس من تحرير أويشفيتس كان الجيش الأحمر في برلين,0.97298783,Egyptian
بل انهم يبيعون الإعلام بنسبة 15% كحد أقصى,بس هم كمان بيبيعوا الاعلام بنسبة %15 على الاكثر,0.9729644,Egyptian
أشعر بأنني كبرت ألف سنة,أحس إنى كبرت ألف سنة,0.9729313,Egyptian
سمعت أنك إعتذرت لـ(ويلسون),سمعت إنك اتأسفت لـ (ويلسون),0.9729231,Egyptian
"قاعدة بابا الجوية هي اكبر قاعدة جوية للناتو في المجر, صحيح؟",قاعدة بابا الجوية هى اكبر قواعد الناتو فى المجر، صح؟,0.9728688,Egyptian
نحن جميعا نحبك، نيكولاي ستالين يحبه.,احنا كلينا بحبك، نيكولاي ستالين بيحبك.,0.97284704,Egyptian
و هذا يقلق جيش الظلام,و ده بيقلق جيش الظلام,0.97283965,Egyptian
أوه، واشتريت هذا الكتاب المقدس، بالمناسبة.,اوووو...وشتريت الكتاب المقدس ده بالمناسبة.,0.9727787,Egyptian
هَلّ بالإمكان أَنْ نحن فقط نُركّزُ على القانونِ؟,هل من الممكن إن إحنا بس نركز في القانون؟,0.97275716,Egyptian
بلّغي أمّكِ تحياتي,قولي ليا أمك تحياتي,0.9727407,Egyptian
كوريا الشمالية، هنا في الولايات المتحدة و بشكل خاص في الشرق الأوسط,كوريا الشمالية موجود هنا في الولايات المتحدة وخصوصا في الشرق الأوسط,0.97273993,Egyptian
-حسناً، هيا، بسرعة .,-حاضر، يلا، بسرعة.,0.9727148,Egyptian
أنا جوكر أنا مدخن,أنا جوكر أنا تاني بدخن,0.9726896,Egyptian
انها شقة مؤثثة وتلك ربما غلطتي الاولى,إنها شقة مفروشة وتلك ربما غلطتي الأولى,0.9726423,Egyptian
هل تعرف هذا الشخص الفرنسي الذي يعيش هنا؟,تعرف الشخص الفرنساوي ده اللي عايش هنا؟,0.97258496,Egyptian
"لا , لا , لا , لا , لا , لا بالتاكيدلا.",لا لا لا لا لا لا طبعا لا,0.9725839,Egyptian
إنها مهمتك أن تحمي شعبك,إنها مسؤليتك إنك تحمي شعبك,0.97257584,Egyptian
أنت أيضا إسمكِ مكتوب على الباب.,وانتى كمان اسمك مكتوب على الباب.,0.97254825,Egyptian
إذاً هو في الواقع سؤال فلسفي. كلا يا د.,يعني هو سؤال فلسفي في الواقع. لا يا دكتور.,0.9725205,Egyptian
و هذا هو سبب ظاهرة الاحتباس الحراري اليوم,و ده السبب في ظاهرة الاحتباس الحراري دلوقتي,0.97250044,Egyptian
حسناً لنعود إلى العمل,تمام نرجع للشغل,0.9724573,Egyptian
أنا أعرفهُ منذ 30 سنة,عرفته من 30 سنه,0.9724505,Egyptian
أنت في مشكلة خطيرة,إنت في ورطة كبيرة,0.9724458,Egyptian
تعلم ، بأن العناية بالمسنين أمرٌ صعب,اعرف ان الاهتمام بالمسنين امر صعب,0.9723995,Egyptian
يجب تغيير المدربين يجب أن يجروا الكثير من التغيير,يجب تغيير المدربين لازم يعملوا تغييرات كتير,0.9723574,Egyptian
-انا أقلق عليه,أنا قلقان عليه,0.97234,Egyptian
ولنصل الى هناك نحتاج أن نصبح أصغر بعشرة مليارات مرة من حجمنا الأن,ولما نوصل هناك لازم نصغر 10 مليار مرة من حجمنا دلوقتي,0.9723231,Egyptian
في الليلة الماضي مبارك زاد من احتقان الشعب المصري برفضه الإستقالة.,في الليلة اللي فاتت، مبارك زاد من امتعاض الشعب المصري برفضه الاستقالة.,0.9722757,Egyptian
أوه، حسنا، لطيف لمقابلتك.,من الجميل اني التقيتك,0.9722513,Egyptian
-لقد سمعتي ما قاله الطبيب,-أنا سمعت اللي قالو الدكتور,0.9722485,Egyptian
ومع ذلك، بطريقة ما تعلمتِ لغتنا,وبالرغم من كده، اتعلمتي لغتنا ازاى,0.9722301,Egyptian
حتى عودتي، أبقى هنا,لحد ما أرجع، أبقى هنا,0.9722233,Egyptian
ذلك صحيح، أنا لست بحاجةٍ للعب فأنا أعرف بأنّني الأفضل,صح، أنا مش محتاج ألعب عشان أنا عارف إني الأفضل,0.97220826,Egyptian
لقد حصلنا على هذة الصورة من اقسام البوليس عبر الولايات.,أخدنا الصورة دي من أقسام البوليس في الولايات.,0.9721774,Egyptian
إخترْ قوّتَكَ ضدّ الوحش المخيف,اختار قوتك ضد الوحش المخيف,0.9721766,Egyptian
أنا ملك العالم ليلا!,أنا ملك العالم بالليل!,0.9721698,Egyptian
كنت في الرابعة عشر وقتها، وكانت أكبر مني بشكل واضح للغاية,أنا كنت في الرابعة عشر ساعتها و هي أكبر مني بشكل واضح جدًا,0.9721049,Egyptian
كيف يمكنني معرفة ذلك؟,ازاى اعرف دا؟,0.9720627,Egyptian
عيناها كبيرة، كبيرة جدا,عينها كبيره كبيره اوي,0.9720422,Egyptian
بالطبع هو رجل طيب,"لأ, و عارفه كويس وانه انسان طيب",0.9719842,Egyptian
هذه المجرة ، مجرة (دولاب الهواء)ا بعيدة جداً عن (الأرض) لدرجة انه لو أردنا إرسال رسالة لكوكبنا من هنا الآن فإن الأمر سيستغرق 27 مليون سنة لتصل هناك,المجرة دي، مجرة (درب اللبانة)، بعيدة جداً عن (الأرض) لدرجة اننا لو أردنا نبعث رسالة لكوكبنا من هنا النهاردة فإنها ستحتاج إلى 27 مليون سنة لتصل هناك,0.9719816,Egyptian
نعم ، لقد شعرت بأنه خطأ بطريقة ما,اه، كان عندي احساس أنه غلط بطريقة ما,0.97194666,Egyptian
(شكراً (سام و لكن هذه الحقيقة,شكراً (سام) بس الحقيقة دي,0.9719403,Egyptian
كان هذا وقتاً عصيباً بالنسبة لي,كان وقت صعب عليا,0.9719293,Egyptian
وقتل اكثر من 300 الف شخص وتفرق مليون في المنفى,ومات أكتر من 300 ألف شخص واتشتت مليون في المنفى,0.9719174,Egyptian
لدينا خيار آخر - حسناً ؟,عندنا خيار تاني - كويس؟,0.97191095,Egyptian
أرجو أن أكون صادقة مع نفسي والناس الذين أحبهم,اتمنى ان اكون صادقه مع نفسي و الناس الي بحبهم,0.97190464,Egyptian
أنت راحة كبيرة لي وأنت تعرف ذلك؟,انت راحة كبيرة لي وانت عارف كدة؟,0.9718986,Egyptian
هل أخبرته أنني ولد طيب ؟,انت قلتله اني ولد طيب ؟,0.9718939,Egyptian
خدم لمدة خمس سنوات مع حارس الكواكب.,خدم لمدة خمس سنين مع حرس الكواكب.,0.97188914,Egyptian
انها هديه جميله جداً شكراً لك,دى هديه جميله أوى شكرا لك,0.9718586,Egyptian
"حسنا, لقد اكملنا الاختبارات الاولية.",تمام، خلصنا الامتحانات الأولية.,0.9718248,Egyptian
لقد قلت كل شيء كنت سأقوله,قلت كل اللي كنت هقوله,0.97182393,Egyptian
كان يعمل لدى مجموعة اعلامية دولية,كان شغال في مجموعة اعلامية دولية,0.97181344,Egyptian
إنّه على إرتفاع 200 متر مع ضوء كبير وامض عليه.,إنة على ارتفاع 200 متر مع ضوء كبير وامض عليه.,0.97180843,Egyptian
لنحمله الى غرفة النوم,نحمله لغرفة النوم,0.9717846,Egyptian
وسوف يكون مجرد مسألة وقت.,و هيكون بس مسألة وقت.,0.9717556,Egyptian
إيميلي)، هل أنتِ و(بن) بخير؟ ),إيميلي) إنتِ كويسة و(بن) كويس؟,0.9717201,Egyptian
أعلم ما تعنيه المقولة,أنا عارف المقولة دى تعنى أيه,0.97171926,Egyptian
إنها رمز رجال الوادي,هي رمز رجالة الوادي,0.9717175,Egyptian
-ليس من الآمن أن تكونوا هنا .,- مش آمان تكونوا هنا.,0.97162974,Egyptian
أنا و (توني) سنكون هناك,أنا و(طوني) هنكون هناك,0.9716174,Egyptian
انها حقا كلمة فرنسية.,هي كلمة فرنسية بجد.,0.9715424,Egyptian
مرحبا ، جميل لمقابلتك,من الجميل اني التقيتك,0.97148985,Egyptian
حسناً، آسِف على إزعاجِك,تمام، أنا أسف على إزعاجك,0.9714286,Egyptian
فقط ، إنتظر حتى يأتي عيد ميلادك,بس اصبر لحد ما يجى عيد ميلادك,0.9714236,Egyptian
اذا كان لا بد ان تعرفي انا كنت في الحمام,لو لازم تعرفي، كنت في الحمام,0.9714205,Egyptian
أَنا جزءُ مهمُ نظام دفاعِ جسمِكَ.,أنا جزء مهم في نظام الدفاع بتاع جسمك.,0.971357,Egyptian
. كان لديه ورم مُتسارع بالدماغ,كان عنده ورم دماغي متسارع,0.97129846,Egyptian
-وداعا يا سيدتي ، وداعا ستيف,- مع السلامة يا Madam، وداعا يا Steve,0.9712788,Egyptian
كنت أتساءل إذا كانت المشكلة انت.,كنت أتساءل لو المشكلة فيك.,0.97126544,Egyptian
"-الأن, قد يبدو هذا مثل السؤال الغريب",- دلوقتى، قد يبدو ده زي السؤال الغريب,0.9712619,Egyptian
نستطيع أن نستخدمها من أجل شراء حريتك,ونقدر نستعملها علشان نشتري حريتك,0.971249,Egyptian
المخلوقات تَحتاجُ أجسامنا ونحن ننجوَ في النّور الشمسِ.,المخلوقات محتاجة لجسمنا واحنا منتعيش فى نور الشمس.,0.97122955,Egyptian
هل سيكون خاطئاً لو طلبت رقمك ؟,هيكون غلط لو طلبت رقمك؟,0.97121996,Egyptian
"من الأفضل أن نبقى في الكاريبي, فلنذهب إلى كوبا.",أحسن نبقى في الكاريبي، نروح كوبا,0.97118115,Egyptian
نعم.. بالطبع انا قلقة انا قلقة عليه,اه، اه طبعا أنا قلقانة أنا قلقانة عليه,0.97113216,Egyptian
شكرا لك انا لست غبيه,شكرا ليك أنا مش بلهاء,0.9710889,Egyptian
كَذبتَ علي حتى لا أكذب على السّيدةِ كيم؟,انت كذبت عليا عشان ما اكذبش علي السيدة كيم؟,0.97107244,Egyptian
لقد طلبنا من الطلاب توقيع تعهد للإمتناع عن إستعمال المخدّر و,طلبنا من الطلاب توقيع التعهد بمنع الاستعمال المخدرات و,0.97106,Egyptian
أتعلم ؟ ، إعتقدتُ أنّ كوني بريئة,بتعلم؟، كنت فاكرة أنى بريئة,0.9710362,Egyptian
هل تريد شراباً ؟,عايزه تشربي مشروب؟,0.97099876,Egyptian
سانتا هو حقآ شخص رائع و حقآ لديه الكثير من العلاقات القويه لكن بطريقه ما انا فقط ..,سانتا هو حقًا شخص رائع و حقًا عنده علاقات قوي بس بطريقة ما أنا بس..,0.97096086,Egyptian
لقد سمعتُ أنها في هذه المستشفى,سمعت انها فى المستشفى ديه,0.97091544,Egyptian
في بعض الأحيان جميع الناس في أحلامك يمثلون جزء منك.,فى بعض الأحيان جميع الناس دُول فى حلمك بيشكلوا جزء منك,0.97090787,Egyptian
هذا يوم الأحد ووعدت كلبي بأخذه إلى النزهة,ده يوم الأحد ووعدت كلبي إني هخده في نزهة,0.9709064,Egyptian
لدي أخبار سارة,عندي أخبار حلوة,0.97085905,Egyptian
لكني كنت هنا قبل يومين,كنت هنا قبل كدا بيومين,0.97083,Egyptian
تعال لننطلق,يلا، يلا نبدأ,0.9707904,Egyptian
- ،لا .. توجدمشكلة،لأنّكَ.. أفضل زوج في العالم,- ما.. فيش مشكلة، لأنك.. أحسن زوج في الدنيا,0.9707692,Egyptian
آسفة لمضايقتك، لكن في الواقع يجب أن نتحدّث,أنا اسفة على ازعاجك، بس لازم نتكلم,0.97071105,Egyptian
ولكن نعم ، أعني ، لقد كانت مفاجئة.,بس اه، اقصد، ان كانت مفاجئة.,0.97068447,Egyptian
"الرب قال , حب عدوك","ربنا قال , حب عدوك",0.97060704,Egyptian
أمي قالت أنكم الشرطة.,مومتي قالت إنكم البوليس.,0.97059846,Egyptian
إسمعي أحتاج إلى المزيد من الوقت وحسب,اسمعى أنا محتاجة أكتر من الوقت ده بس,0.97057104,Egyptian
هذا يعني أنه ليس أبوها الحقيقي,ده يعنى أنه مش أبوها الحقيقى,0.9705173,Egyptian
-هذا الصندوق موجود هنا من 50 سنة,الصندوق ده موجود هنا من ٥٠ سنة,0.97045374,Egyptian
بمعدل 30 ميل في الساعة طول الطريق,بسرعة 30 ميل في الساعة طول الطريق,0.97045183,Egyptian
آه... تلعب دور الهنديّ المبجّل الصامت؟,أه... بتلعب دور الهندي المبجل الصامت؟,0.9704343,Egyptian
بالطبع انت كذلك انت ابنة امك,طبعا انت كمان انت بنت امك,0.97041106,Egyptian
...أعني (إنه (مايك,يعني هو مايك,0.97040254,Egyptian
الطاقة البديلة كانت التكنولوجيا الحيوية منذ 15 عاماً يا ستان,الطاقة البديلة كانت التكنولوجيا البيولوجية من 15 سنة يا ستان,0.9704015,Egyptian
لَمْ أكن أعلم بأنّهم يحتفلون بعيد الميلاد في اليابان,ما كنتش عارف انهم بيحتفلوا بعيد الميلاد فى اليابان,0.97037786,Egyptian
او الجمعة مع عدم وجود اثنين من البيتزا.,أو الجمعة مع عدم وجود اتنين بيتزا,0.9703597,Egyptian
يجب أن أعود إلى (99) إنها في خطر بالغ,لازم أرجع لـ (٩٩) هى فى خطر كبير,0.9702743,Egyptian
وأعتقد أنه أحد أسباب,واعتقد ان ده سبب من اسباب,0.9701965,Egyptian
حسنًا، شكرًا لك على كل حال,متشكر على كل حال,0.9701665,Egyptian
"الوضاح أنها تثق بي - هي تثق بي, أنا ابنها -",الواضح انها بتثق فيا - هي بتثق فيا، انا ابنها -,0.9701332,Egyptian
"فجأةً , انت تثقين بالمدرسة لفعل شئ؟",فجأة، انتي بتثقي بالمدرسة عشان تعمل حاجة؟,0.9701247,Egyptian
في ليلة الـ15 من يناير لعام 1905,في ليلة خمسطاشر يناير سنة 1905,0.9701023,Egyptian
حسناً من يعرف ايضاً اني هنا غيرك ؟,طيب مين كمان عارفة اني هنا غيرك؟,0.9700968,Egyptian
مرحباً سررت بلقائك,من الجميل اني التقيتك,0.97008514,Egyptian
وبقولك انت، تعنيني أنا.,وبقولك إنت، تعنيني أنا.,0.9700792,Egyptian
"نعم, اذا ما هي وظيفتي بالظبط؟",آه، وما هو وظيفتي بالظبط؟,0.96997774,Egyptian
ـ هل إرتكب إيد كلارك جريمة إنتحار ؟,هل إرتكب إد كلارك إنتحار ؟,0.96997714,Egyptian
كان عليه قبل 5 سنوات ذلك.,كان عليه قبل خمس سنين كدة,0.9699706,Egyptian
-كان خائفاً على والدتك و قد آذيته أيضاً,- كان خايف على أمك و كمان أذيته,0.9699463,Egyptian
كيف عرفت أن إسمي جاك ؟,ازاي عرفت اسمي جاك؟,0.9698821,Egyptian
إنهم يعرفون شكلك.,هما عارفين شكلك,0.9698535,Egyptian
... يفترض أن نعود بعد 3 شهور ليس 3 أسابيع,.. المفروض نرجع بعد 3 شهور مش 3 أسابيع,0.969841,Egyptian
- من هذا الذي على الهاتف؟,- مين اللى ع التليفون ده؟,0.9697852,Egyptian
أعني ، لاتفهمي خطأ أنا لست سعيداً أن أمي ماتت,يعني ، متفهميش غلط أنا مش سعيد أن أمي ماتت,0.96974343,Egyptian
-كلّنا لديه دمّ على أيديه . -دمّ؟,-احنا كلنا ايدينا فيها دم. -دم؟,0.9697337,Egyptian
من الواضح أن الجميع هنا يحبك و كنت مخطئ حيال كل شيء,واضح أن الكل هنا بيحبك و كنت غلطان في كل حاجة,0.9697262,Egyptian
إنها واحدة من أعظم معجزات الحياة,دي واحدة من أعظم معجزات الحياه,0.96970534,Egyptian
نعم ، أخيرا تعلمت ان اتكلم لغته,ايوه، اخرًا اتعلمت اني اتكلم لغته,0.9696827,Egyptian
بالطبع سأكون سعيد,طبعا هكون سعيد,0.96964335,Egyptian
دمّها كان يخرج حقّاً ببطىء,دمها كان بيطلع ببطء حقيقي,0.96964276,Egyptian
