original,translation,cosine_similarity
أنا دائماً أعرف ما يجب فعله.,دائماً باعرف إيه لازم أعمل.,0.8328003
قال أنه دخل المبنى.. و اختطف فتاة صغيرة.,التحقيق في إختطاف أختك.... و المؤامرة الحكومية حوله.,0.61912227
حضرة القائد دعنا نقاتل وأنا أعدكَ بأننا سنثبت لكَ عشرة مرات بأننا قادرين إن سمحت لنا,أنا عايز أنقذك ،عايز أحارب عشانك,0.7452367
لقد كان متزوجاً و لديه أبن.,كان متجوز و عنده ابن.,0.9456771
هل لديك أي شاهد ؟,هل عندك أي شاهد؟,0.99720895
إنّما لا أعتقدُ أنّ الآن هو الوقت المناسب لمحاولة العودة إلى بعضنا.,كان لسه فى وقت نعااااود نفكر فى الموضوع تانى,0.73041594
ما الوقت لم تحصل للعمل هذا الصباح؟,إمتى ماجتش الشغل الصبح ده؟,0.8562923
مسدّس أمريكي مصنوع من الفضة المكسيكيّة... رمزاً للإمبرياليّة الأمريكيّة في يد المكسيكيين,مسدس أمريكي اتعمل من الفضة المكسيكية... رمز للإمبريالية الأمريكية في ايد المكسيكيين,0.9854194
-لكن ماذا عن علاقتك أنت و هي؟,- بس إنت إزاي علاقتك بيها؟,0.88174975
ليس لديك خيال كافى لتكذب,أنت مش بتتكلم معايا,0.760012
فقط شيء خاص بالخيول.,ده.. ده حاجة عجيبة,0.8490875
و لماذا أنا كبير أيضاً؟,و ليه أنا كبير برضه؟,0.93034136
-يبدو مثل ساق طفل,-زي ساق طفل,0.9290149
لماذا هو يقود سيارة اجرة؟,- لأ، هنركب تاكسي,0.7432995
إذا لماذا لا تغني لي نبرة أريد سماعها ؟,المشكلة يا باشا مراتي ما بقتش تعرف تغني,0.7981776
قال اذا لم اعطيه المال سوف يقتلنى,ميهمنش أنك تقدر تقتلني,0.7627268
لا أظن أنها فعلتها,"-لا . مش عملت كده , مش كدة !",0.7672519
ألن يَقلق بشأن طرده من العمل؟,هينفلقش على شغله؟,0.8178054
الحقيقة أن هذا قد يكون الوداع,بس بكره الوداع، فعشان كده من الأفضل ما نقولش حاجة,0.8854906
الأن عودي للسيارة,سيارتك الخاصة وصلت تعالى نطلع,0.869235
...سأخرج من هذه السيارة و سأمشي على الطريق... .لأتحدث معه وجها لوجه,سيارتك الخاصة وصلت تعالى نطلع,0.72585034
هل سبق وتوقفت لتفكر للحظة ما من شأنهِ أن يفعل هذا بك؟,هل سبق وفكرت شوية في نفسك ايه اللي ممكن يعمل فيك كده؟,0.8258114
لكني لو كنت اعلم كم انت عاشقه لشكسبير ... كنت سأشتريها لك,ف عشان كده هو شايف اني اقدر اسالك لو كنت عاوز تشتريه,0.70875883
أوه تباً زوجكَ سَيَقْتلُني,ميهمنش أنك تقدر تقتلني,0.84419835
حسناً من يعرف ايضاً اني هنا غيرك ؟,طيب مين كمان عارفة اني هنا غيرك؟,0.9700968
وبالمناسبه لا اعتقد انها تعلم شيئاً عن ذلك,اسمع، أنا مش عارف لها حتى... لا، لا، بس...,0.85896814
أعتقد أنت يجب أن نظرة وارد.,بصراحة انت محتاج تتفرج على ديه,0.848959
بعض العداوى البكتيرية لا تصيب الفئران,بعض العداوى البكتيريّة مش بتصيب الفير,0.8317076
هل حاولتِ الوصول له؟,حاولتيني أوصله؟,0.89785135
أصبحوا أسرة مجدداً، وكذلك نحن ، ماذا حدث؟,وعلشان قلنا كده لما ابتدينا هنتواعد حصل بنفسى كدا,0.6403554
لا تثق أبدًا بالأشخاص الذين يدفنون موتاهم فوق الأرض.,أكره لما الناس تستخبى ورا معتقداتهم وبتقول...,0.59878427
... أعلم انها بضعة آلاف نقدا,.... اعرف انها بضعة اف كيلو بالكاش,0.75545746
لو اردت ان اسألك مزيداً من الاسئلة سأهاتفك,فضل يرن عليا ويسأل عنك,0.7902751
يعتقدون أن لدي إرتباط إلى ألمانيا.,بيفتكرو اني ليا واسطة في ألمانيا.,0.82569015
لماذا استمر في التفكير في تلك المرأة,اللي قولت لها هو شوية كلام كنتي بتفكري فيه من زمان,0.7325852
لكنّك لم تكن كذلك، لأنّها كانت كاتبة وقد أعطيتها قصّة حياتها.,بس انتي مبقتيش كدا لأنها كانت بتكتب وقدامتها حكاية عمرها.,0.86494184
أرسل برقية إلى والدي,أرسلت برقيه لأبويا,0.88178366
أنا لست على دراية بهذه السيارة,بس افتكر، أن الراجل مش ماكينة بتشتغل,0.67475754
هل تعرف ما معني هذا ؟,إنت عارف يعني إيه الكلام ده؟,0.92333716
ظننت بإمكانك أنْ تكوني مختلفة,كنت فاكرة انك ح تكوني مختلفة,0.93242025
ثم سنأخذ حماماً,وعليّا أروح البيت أتحمّم - معايا حمام -,0.8167821
أهذا ما أبدو عليه من الخلف؟,بس أنا عايز إيه بجد؟,0.7355163
لا ندري هل هذا يعني إحراز التفاوض أي تقدم أم لا,ما نعرفش هل ده معناه تقدم المفاوضات ولا إيه,0.893949
أظن أنا وأنت ، نعرف الكثير...,أظن أنا وانت عارفين كتير...,0.89972824
"هيا , لماذا سحب الوجه الطويل؟",لما م شوفتكيش قبل كده؟,0.78734887
لا بأس، إنّنا هنا الآن، إنّك بأمان,مافيش مشكلة، احنا هنا دلوقتي، انت بأمان,0.8352841
ولكني ظننت أنني سأشعر بإثارة أكثر حيال الأمر,ده غريب لكن الكلام ده بيخليني أحس أحسن,0.7092496
♪ عليك العمل العمل العمل بجد أعمل بجد بجد الان,♪ عليك الشغل الشغل الشغل اشتغل بجد بجد دلوقتي,0.91062653
هي التقاليد التي توضع على الرأس,هيا التقاليد اللي بتتلبس على الراس,0.90093213
لكنها لاتعلم ماهو حتى الان,هقولها إني ما أعرفوش,0.8009419
احب عندما اكون محقا,حاضر، أنا كويس دلوقتي,0.7473666
"أنا أعني أن فمه مفتوح و عيناه مغلقه معظم الوقت,إذا","أنا عايز أقول إن فمه مفتوح و عينه مقفوله معظم الوقت, يعني",0.97872156
"حسنا امي,انا احبك",يوه يا أمي بحبك,0.9570651
،اللعنة يا فتاة أنها مزحة,بس قوليلي هيبقى مضحك ازاي،,0.80740505
. لقد حصلت على عنوانك من مكتبك,- دى من مكتب جنبنا.,0.75198716
عندما كنت طفلا أو شيء من هذا.,زمان ما كنتى فتاة صغيرة,0.89735913
-يُمكنك الرحيل إذا أردت .,وانت ممكن تروح هناك كمان,0.76457083
لقد إعتقدت بانكم أيها الناس ستتفهمون بأننى إمرأه حامل,انا فكرت انكم يا جماعة حتفهمون اني ست حامل,0.9301372
عليّ القول، تلك المرة الثالثة التي يطلبون مزيداً من المال,و لو كانوا بيصرفوا الفواتير,0.67082024
"جيّد , اتمنّى بأنّك كَانَ عِنْدَكَ وجبة طعام داعرة عظيمة!",راسِك وجعاك تانى؟,0.82641435
أنه... يعرف أين أنا، توم,هو... عارف فين بقى، توم,0.87464595
البابا لم يكن متواجداً معنا هنا لثلاثة أيام...,البابا يا باشا ماكنش موجود معانا هنا من تلات ايام...,0.6371654
لا يمكنكَ التحدّث إلى محامي,لا.. مش قادر اكلمك عن ده فى البيت,0.69447714
أنا أعلم، أنك في سن صعبة,أنا عارف إنك ف سن صعبه,0.9247746
لكنه فر,كان ممكن يهرب ويجيب لنفسه نجده,0.82900566
"أنت لا تحاول أن تتراجع , أليس كذلك؟",انت مش بتحاول ترجع لحالك، مش كده ؟,0.91911554
"مرحباً , كل شيء مجاني اليوم خذوا ما تريدون",شكرا على المشاركة اليوم,0.67065746
-أتذكر عندما كنت صغيرة,زمان ما كنتى فتاة صغيرة,0.87880576
لكن لا أريد أن أراكما أنتما الأثنان هنا ثانيةً، هل تفهماني؟,انت مش قادر ترد عليا,0.75680304
يجب أن أعتذر بنيابة عن زوجتي.,لازم إني أعتذرلكم عن مدامتي,0.8810128
"اذا, ما الخطة هنا, (ريتشارد)؟","طيب, ايه الخطة دلوقتي يا (ريتشارد)؟",0.9497653
من السهل ان ندع المشاعر تعمينا ندع الخوف يقودنا الى الظلام,من السهل ان ندع المشاعر تعمينا و ندع الخوف يقودنا للظلام,0.9494771
هل يزعجك وجودي هنا؟,ليه جيت هنا تشوفيني دلوقتي؟,0.7990258
استطيع ان اثبت ذلك لك.,أنا قادر أثبتلك ده,0.9435166
لا يمكن أن تذهب الى أي مكان في هذه المرحلة يا (رام),انت مش قادر ترد عليا,0.7685662
لقد تركت مايكل في محطة الغاز في بينيت,إيه اللى حصل فى الجراج يا مايكل؟,0.62885463
لم أستطع تحمل فكرة أني سأكون أعمى,مكنتش مستحملش فكرة أني أعور,0.79751736
كنت هنا لأقول لك التي كان النظام الخاص بك ساعدنا قليلا,كنت هنا عايز اقولك إن النظام بتاعك ساعدنا شوية,0.905336
أريد ان أسألك شيئاً ما,بس ممكن اسألك سؤال,0.9243251
ماذا كان من أجل المال أيضاً؟,وإخرة ماله؟,0.7944374
تعتقدون أن هذه غرفة نومكم؟,هتنامي في سريرك النهاردة,0.80202043
عليكَ أن ترسل دعوة على اي حال,عليك تبعت الدعوة في كل الأحوال,0.82438827
لقد حلمت بالسلام لقد تخيلته,حلمت بالسّلام و تخيلته,0.84878564
لا يُمكننا أن نُقدّم له أيّ سببٍ للإعتقاد أننا نعرف أين خبّأت (إلين) الأدلّة.,ماحصلنا عليه مش قادر يدي أي نوع من التفسير.,0.736374
اللعنة على العالم كما هو عليه اليوم!,زي إن باقي العالم مبقاش موجود,0.73410285
وكل ملابسي لا تزال مبللة.,كل حاجة هتبقي تمام,0.5993158
استمع لقلبك - شكرًا أمي -,سمع قلبك - شكرا يا امي -,0.91448426
لأني لا أريد أن أتعامل مع المحامين أو الميراث,إني مش هسمح لحاجة تحصلك,0.6515463
أنت كبير وقوي وعيون زرقاء ساحرة,انت طويل وقوي وعينين زرق زايقين,0.9214549
أهدأ قليلا مشاكلنا تظل فى المنزل.,هدِّى شوية مشاكلنا ديه تفضل بيتنا,0.72636676
"حسنا, هل يمكن أن يستأجر الضيف شيء ما مثل ذلك مثل ثلاجة صغيرة أو شيء ما؟",تمام، هل يقدر المستأجر يستأجر حاجة زى دي تقريبا زى ترابيزة صغيرة أو حاجة كدي؟,0.7628546
كان قلقا من أن ديبرا ستتفقد هاتفه الخليوي,كان قلقان من أن ديبرا تتفقد موبايله,0.87097764
لوح بذراعيه في بطريقة عدوانية وعنيفة,شفته بيتضرب على دماغة كان عنيف أوي,0.8122088
لا ، يجب أن اذهب ماذا ستفعلى الان ؟,وهل يصح أن أرحل..! أنا فين,0.7630403
لا ندعو لها في حالة من الذعر.,هي مش هتقول لك أسرار,0.80211693
لا تريدين أن تضع يدها في طعامك,لا متحصليش وجبة مجانية هنا,0.7568216
أنا لن أتصل بك ثانية إذا كان ذلك ما تريدي,إني مش هسمح لحاجة تحصلك,0.777605
أنت غاضب مني هذا الصباح,أنت زعلان مني النهارده,0.7372867
أنا لا أعلم، كل ما أرغب به هو أن اكون أباً جيداً.,ما بعرفش.. بس كل اللى عاوزو إني أبقى أب كويس.,0.77116394
لا يهمني إذا كنتِ تشتغل في الشؤون الداخلية أو حتى لو كنت البابا,ولا يهم إذا كنت تشتغل في الاشغال الداخلية ولا لو كنت البابا,0.9174231
آسف لوصف الأمر هكذا لكن الآباء المحتملين لا يبحثون عن السلوكيات السيئة,نتكلم مع الوالدين نشوف هو لسه ضايع - تمام -,0.681558
الحضارة الإسلامية والغربية لهما نفس الجذور,الحضارة الإسلامية والغربية ليهم نفس الجذور,0.9876113
أيُـمكِننا الذهاب إلى أي مكان نريده في العالم؟,يمكن ملاقاتنا ف جميع انحاء الكوكب,0.6526791
أنا ممتن بأنه لم يقتلك,مش هتروح معانا - ليه؟,0.7336509
عندما نقترب، الكون يصل للأسفل ويساعدنا على تحقيق مصيرنا.,لما نقرب، الكون بينزل ويساعدنا على تحقِيْق مَصيرنا.,0.8770776
ولكن هنالك تسعة منا مقابل ثلاثه منكم,تلاتة في تسعة تساوي تلاتة بس كدا,0.78302515
كنت أحب والدي جداً لكن,كنت بحب ابويا قوي بس,0.80370104
أعتقد أننا سمعنا بما فيه الكفايه,أظن إحنا سمعنا قد ما يكفينا,0.98180187
وكنت آمل أن أقضي بعضهم معك.,كنت ناوى اكلمك,0.8195276
‫دعني أذهب، دعني أذهب!,ابعُدوا ابعُدوا عني,0.8320575
عرفتكما الاثنتان طويلا و احببتكما طويلا,بحبك من وقتها,0.77272636
في فبراير/شباطِ 1915، الجيش التركي بَدأَ قمع الشعبِ الأرمنيِ,كنت شايفهم كلهم على الجبهة الروسية,0.47916064
أتفهم شعورك الحالي، ولكن في النهاية ستحتاجيني,وانا عارفه انك بتخبي عني حاجات,0.87630296
تحتاج لتحسين إنجليزيك,انت لازم تطور انجليزيتك,0.90800154
-و عليكِ شربه بالفعل؟,عاوز تشرب حاجة؟,0.88551736
"مالذي تفعله , توقف مالذي تفعله يارجل؟",ايه اللى نفسك اعملو؟,0.7934272
إلا أنه يحتاج لتعلم الكثير .قبل أن يكون مستعداً لإنقاذ أحدهم,بس هو محتاج يتعلم كتير، قبل ما يبقى جاهز ينقذ حد,0.82299155
و الحقيقه هناك أنه لم يتبقى منه إلا القليل,والحقيقة انّو ما بقا منه غير شوية,0.7596785
لقد كان يفعل هذا لفترة,هو كان فاكر في يعمل كدة من زمان أوي,0.83227414
لا، لا، لا، إنها لا تريد رؤيتك يا صاحبي,هو بس مش هيخليها تدخل.,0.78609383
إذن شخص لا يرغب أحد في قتله,مش كل حاجة محتاجه تقتيل,0.8334105
-ستتأخر قليلاً,- لاء دة الوقت بقى اتاخر أوي,0.92320055
هل بامكان حكومة فيتنام الجنوبية ان تقف في وجه الشمالية,هيقدر حكومة فيتنام الجنوبية إنها تقف قدام الشمالية؟,0.9470873
قد يكون لدينا شيء يمكن الحديث عنه.,أه، وبعدين، عندنا دلوقتي حاجة نتكلم عنها.,0.89788115
يجب أن نقوم بهذا بأنفسنا,لازم نعمل كده بنفسنا,0.95470613
...بالمناسبة جاء شرطى بالأمس وسأل بعض الاسئلة عن أمير أختفى عن الأبصار,... بالمناسبة جه دلوقتى شرطي وسأل عن أسئلة عن أمير إختفى ومبقاش عليه خبر,0.8672943
-عزيزي، لا يوجد شخص يعتقد أنك سمين,لا، لا، لا دي حاجة حلوة أوي,0.6474532
"- أنا آسف, قصدت، كلا",أنا آسفة، ماأقصدش-... لا,0.9623207
- تماما بخصوص نفس آخر مرة -,لا لا.. مش بنشتغل سوا المرة دي,0.83174753
- اعتقد انها تشبهني,أنا فاهم، ماشى هى مش عارفة أنا مين كويس,0.75453496
هل تعرف أين أنت ؟,قولي إنك بتعرفي المكان ده أنا بتعرفه,0.82678425
انا اعترف انه اخذ المال,فاعلمتها اني عملته,0.7561988
أخذوا النبيذِ، إذا تُريدُ نبيذاً.,خدوا النبيذ، لو عايزين نبيذ.,0.942878
وعندما الرجل لا يحصل على أمه ينتهي مثلي,ما اعرفش يعني انا اقصد اني فاكره اني عاوزه اولاد في يوم من الايام,0.7459831
- عيناي الحصول على القديم هو شيء واحد.,أنتَ عارف، لما العين اللي كانت لحد دلوقتي واضحة,0.826218
"إذاً , ما الذي أتى بكِ هنا الأن ؟",لما أنت هنا؟,0.8624222
وداعاً شكراً على التوصيلة,مع السلامة ميرسي علي التوصيلة,0.8799109
والأهم من ، \ دعنا نذهب العمل بها، \ هو، كما تعلمون، نحن على الطريق معا 46 أسابيع من السنة ، لذلك نحن نأكل معا كثيرا، و وانه يراقب دائما ما أكل ،,والأهم من كده / إحنا بندي شغل مع بعض / وهو / زيكم عارفين / إحنا بنسافر مع بعض 46 أسبوع في السنة / إحنا بنأكل سوى كتير / وهوا دايما بيراقب أكلي /,0.7387842
خروف القانون .. خروف القانون أأنت هناك؟,خروف القانون .. خروف القانون حضرتك موجود؟,0.8459427
♪ أتيتُ لأتحدّث معَك من جديد ♪,أنا فاكرك قدرت تقابلنا هنا,0.7968951
هل سبق لك أن شهدت أي مشاكل عاطفية ترتبط باهتماماتك الجنسية أو اختيارك للشريك الجنسي؟,"علشان تعالج dysfunctional sexuality لازم يكون عندك معرفه بالاسباب المرضيه اللى ممكن تؤدى لل Dysfunctional sexuality, و بكدا يكون سبب اختيار العلاج بسبب انك تعالج المشكله اللى ادت للاضطراب فى الوظيفه الجنسيه",0.72638243
شكرا شكرا جزيلا,أنا اشكرك جداً,0.982105
سيكون علي تدمير علاقتك,مبتحطيش نفسك كل الحاجات دي,0.73580503
لن نكون أطول كثيرا، مستر...,إحنا لسه ممكن نتطلع إتفاقيه,0.7957449
هل تستطيعين اخبارى بأسمك ؟,إزاي تعرفي اسمي؟,0.8922649
لقد سرقت سيّارتكِ أعتقد أنني أعلم إلى أين يتّجه,هو اللي عملها، هو اللى سرق شنطتى,0.74997634
ماذا تعتقد أنك ستفعل؟,ازاي هتخطط لعمل ده؟,0.849187
ليس لدىّ سلطة لأوقف أي شيء إلا موتك,ما معديش صلاحيات اوقف اي حاجه غير موتك,0.7575384
"لا , لم اكن اعلم انك حامل",انا فكرت انكم يا جماعة حتفهمون اني ست حامل,0.7910896
ربما أنا حتى مشاركة هذا معك.,نفسي بحكايتك,0.8430908
سوف تصبح رائحتكِ من الأن و طالع,هجبلك شوية ماية,0.7939637
-أتدرك ما يعنيه هذا؟,بتفهمي ده يعني ايه ؟,0.9034545
أنتِ ترسمين الإستنتاجات قبل أن يكون هناك أي دليل واقعي.,بتستخرجي النتائج قبل مايكون فيه دليل حقيقي .,0.8427422
إنه نوع من المجنون لكن أحيانا تعمل أشياء مجنونة عنما لا تملك الخيار وأنا لم يكن لدي خيار,مش بيحصل كدة غير لما بعمله هو,0.74558794
-ولكنني أستطيع ، وأحذرك..,أنا شايف اني ممكن اعمله -مش موافقة,0.78740406
لم أكن الوحيد الذي يتعامل مع أفكار الآخرين المجنونة,بسبت كده مكنش لازم احكيلك حاجة واتفكرت وقولت لنفسي ممكن اكون مجنون شوية بس مكنش جنوني لي الدرجة دي,0.7211211
أعطيته 50 ألف دولار كي يساعدني,عطيته 50 ألف جنيه و وعاني,0.8745116
قد 1.5 مليون قتل تم دفع الصيادين ما يعادل 75 دولار,قدمت 1.5 مليون جنيه للصيادين ما يعادل 75 دولار,0.7951525
أنتي لا تعرفين أي شي عن ما أشعر به,انت مش عارف حاجة عني,0.7997929
ـ لنذهب وحسب، أحب القيادة,انت متقدرش تقود فى مينا حريرية امريقية,0.6944411
هل هناك أي أحد غيرك ؟,بتشوف الست هناك؟,0.7563862
مركز الكلام في دماغه نشطاً ولكنه لا يتحدث,مركز الكلام فى دماغه شغال بس هو مش بيتكلم,0.9385811
لا تكذب عليّ مجدداً - ما الذي يجري ؟,متكذبنيش تاني - بيهزر ايه ؟,0.8032397
.من طلب منك ان تكون خائفاً؟,مين قالك تخاف,0.90675044
..ربما لو- نحن نتكفل بالأمر-,بس بأعتقد اننا ممكن نتصرف فيه,0.91667545
"آسفة, هذا شيء محزن",أسفة دى حاجة حزينة,0.94129264
‫♪ سئمت من التواصل ♪,أنا ملقتش حد هنا,0.7594158
ما الذي حدث لك بحق الجحيم؟,ايه اللعنه اللي بتحصل دي؟,0.74994946
"توسلت لها أن تتركه , لكن قالت بأنه يجدنا .",اتوسلتلها ان هي تسيبله لكن قالتلي انه بيغزنا.,0.7868645
ضعني في اللعبة، لأنني سأخرج الجميع منها.,أنا اللى بتدور عليه!,0.78946435
أجل،ولكن ذلك ذلك هو الطريق، أليس كذلك؟,زى ما قولتك لك، دا هو الطريق الوحيد,0.79433334
لا تريد تتنفس هذه الاشياء!,طب ما تتردديش عندك شغل تخلصيه,0.76397914
. أني فقط حاولت أن أساعدك,أنا كنت بحاول أساعدك,0.9505106
هذا ليس أنا لا أستطيع النوم أنا أرى الأشباح,ده مش انا مش عارف انام انا لاقى الاشباح,0.88965404
أحد أصدقائك المُقربين، رجل لطيف.,لو كصديق اهو,0.8225607
أقيم بنفس الفندق أيضاً، أنا فوق المسبح في الغرفة 214.,أ كمان أقيم في نفس الفندق، حجرتی فوق حمام السباحة رقم 214.,0.9526222
عندما يتعرض الحلم الأمريكي للهجوم,لما الحلم الامريكاني بيبقي تحت التهديد,0.90155864
ماذا، هل كان يجب ألا أعلم؟,إيه أنا غلطت في حاجة ؟,0.7887295
", ماذا أفعل هنا ؟",إيه ده اللى بيحصل هنا؟,0.8304281
لقد كنت أبحث عن الحمام في الأسفل على يمين الصالة,كنت بعمل هزار في الحمام دا بس هو مش موضوع حمام جد,0.7782617
هل يمكننا الخروج من هنا؟,- فيه طريقه تانيه عشان نخرج؟,0.81322694
أنا لا تحتاج قيمة المختبر لذلك.,أنا مش محتاج قيمة التحليل دي,0.86587334
"شكرا, إريك حسنا, حسنا",شكرا يا إريك، كويس، تمام,0.98573285
‫يجب عليك قراءة بعض الكتب ‫ثم تقولها للأولاد,انت لازم تقرا كتب كده وبعدين تحكيها للأولاد,0.92563045
"بصراحة, متى حدث هذا لك آخر مرة؟",بالظبط امتى كان اخر مرة حصلك كده؟,0.8617351
سمعت قصص عن مقاتلين سابقيين بالحروب اللذين يقاتلون بحالات غير إنسانية لدرجة إشفاقهم على الجنود البرتغاليين لتحمل ماعانوه,بتحملوا الحرب فى الأغلب تضحية كبيرة,0.76276314
-لمَ أنت هنا إذن؟,لما أنت هنا؟,0.96596646
وأنه فقط لم أي معنى.,ما كانش حصل أصلاً.,0.72391236
أجل، و أريد الليلة أن تكون مثالية,الليلة، لو في عندكوا واحدة,0.71021974
"- أبي , لدينا اجتماع غدا",- انك تكون عندك اجتماع لفريق الكنيسه,0.73289704
كيف يمكن أن نكون متأكّدين أنّك لن تقتله؟,لو مش قادر أثق فيك معنديش أمان أخاطر بحياتي عشانك,0.7389921
- كنتُ مشغولاً للغاية في العمل,- كنت شغال أوي في الشغل,0.9482647
"انظر, اُريد ان اكون لوحدي. حالياً.",وخايف إني إقعد لوحدي,0.8380661
هنالك امرأة مع سلاح,قول لرجالتك ما يستخدموش سلاحهم,0.68914884
هناك هذا البعوض القليل مجرد أخذ من السهل يقف على الطاولة.,على الأقل أنا مرتاحة من البعوض,0.67839926
-شكراً يا جيري، شكراً .,- شكرًا يا جيري، شكرًا.,0.9993532
بأي حال، يا إلهي، ما هذا؟,إيه اللي بيحصل ده؟,0.82159954
هل تريد غرفة، تذاكر للعرض؟,عايز اودا تذاكر للعرض؟,0.81743634
أنا أعرف، أحب قصائده,واعرف ايه، احب قصايده,0.9255322
. أنت تحتاج إلى المساعدة . أنت رجل مريض,اكيد واللى هو طبعا المريض.,0.7328984
بمنحهم ما يريدون بالطبع,خليهم يقومو عشان محتاجينلهم,0.8138902
تعال جاك، اجلس,تعالي يا جاك، اقعد,0.99013925
هذا مستشفى أنا لست محامي.,دى مستشفى مش محكمه.,0.7010331
الصندوق كان مدفون فى الارض مثل البذرة على ما اعتقد,الصندوق كان مدفون في الأرض زى البسرة مش عارفة ليه,0.9244709
فكّر جيداً، سنعود، هيا بنا,متقولش كدة لازم نرجع,0.8910626
لا يمكننا الانتصار في حرب الاستنزاف ليس لدينا الأرقام,إحنا ممكن نكسب مناوشة ضد المنظمة، بس مستحيل نكسب الحرب,0.6950489
ربما قد يستطيع مساعدتك أنتِ أيضا,أيوه ممكن تحتاج مساعدة في ده,0.8276273
"حسناً , البعض على الطريق , البعض على القطارات البعض عبر البلاد",تمام، بعضهم فى الطريق وبعصهم فى القطارات وبعضهم عبر البلاد,0.9688772
ربما يجب أن أتوقف عن المحاولة مع (سام),يمكن أبطل أحاول مع سام,0.779522
عندي الرقم .لو كنت تحتاجه,عندي الرقم لو كنت محتاجه,0.9830214
في الواقع، هناك سؤالاً كنت أود أن أسأله لكِ.,بس ممكن اسألك سؤال,0.92676663
كان أصم قبل الولادة 35 وفقد بصره وعمره,كان أصم قبل الميلاد 35 وفقد بصره و عمره,0.93469346
هناك حدود لما يمكنني فعله,الموضوع بس برضه فيه حدود,0.73608893
كما لو كَانَ اسمِها في الهواءِ,ايه اسمها بتاع بقى؟,0.8142662
هذا غريب... لقد قالت أنك خرجت لتناول العشاء ولم تكن مريضا.,ده غريب... قالت انك روحت لحد البرة تتغدى ومكنتش تعبان,0.7141569
-إذًا أنت جندي سابق بالبحرية، صحيح؟,- طب إنت كنت عسكري بحري قبل كده ؟,0.91640717
لا أعتقد ذلك، لا أظن أنه يمكني القيام بذلك.,ما أظن انك تقدر تعملها.,0.82531905
-أين وجدته ؟,... النهارده اكتشفت ايه هنا؟,0.71750677
أو قد يعني أنها ستقوم بقتل نفسها في هذا الوقت,هى ممكن تموت ومش عارفة تتنفس، إزاى لوسمها؟,0.8090233
♪ كان عليّ ترك حياتي ورائي ♪,♪ كان عليا أسيب حياتي ورايا ♪,0.8266843
إنها من بلدة زراعية صغيرة .,هى من بلدة صغيرة زراعية,0.9966805
يجب علينا حقاً أن نخرج هناك,مش دلوقتي بس لازم نروح,0.8071377
- لم تضع في اعتبارك اطلاقاً ان روايتها عن الدفاع عن النفس قد تكون حقيقية؟,- ليه مفضلش تتخيل إن روايتها عن الدفاع عن النفس ممكن تكون صحيحة؟,0.91668355
- هل كان لديك هذا الألم من قبل؟,- يمين، انتي حسيتي بالألم دا قبل كده؟,0.84124744
أنا لا أفترض لديك القليل من الحليب.,الحليب بيغزلني إشرب يا ولاد,0.7420279
"حسنًا, ما لدينا غير كافٍ",طيب، اﻷ بتاعنا مش كافي,0.8798205
هل كان هناك بشر بتلك الغرفه طوال الليل ؟,... راح ورايا البيت ليلة و ... و كان فعلا,0.7928923
إلا إذا اعطيتني شيء يمكنني استخدامه,مكانتش أنا بس اللى مرّ باللى حصل ليها .. معرفتش إن اللى حصل ليها ده ممكن يحصل لأى حد.,0.7850769
فتاة صغيرة خائفة لا يخاف منها أحد,بنت صغيرة محتاجة حد يخاف منها,0.8462167
أترون هناك شيء لم أخبركم به,متقوليليش، مش هسأل تاني,0.81555396
", لقد مررنا بالكثير معاً أنا و أنت",إحنا كلينا في دا مع بعض، مش كدة؟,0.80800533
الوحيد الذي سيواصل إذا لم أعود.,و مع ذلك مازال بيركب عا إنقاذه,0.7427319
ماذا تفعلوا هنا يا رفاق؟,إيه اللي معاك هنا ؟,0.8207816
-يجب أنْ نحصل عليه، دعيني أتحدّث معه,متسبنيش عليا وسيبني اتكلم معاه,0.8874404
و كان لا بُدَّ أنْ يَجدَ طريقَه عبر الجبالِ الوعرةِ... وصحاري محرقة لكي يَصلَ إلى البيت.,وكان لازم يلقي طريقه على الجبال الوعرة.. والصحاري المحروقة علشان يوصل على البيت.,0.860114
حياتكم، الآن، هُنا، .. معي,حياتك دلوقتي هنا... معايا,0.8611248
لن يبقى أي عضو من عائلتكعلىقيدالحياة.,انت مش تقدر تغامر بحياتك علشان الراجل ده,0.63650167
سيكون الطبيب معكم خلال لحظات,قول للدكتور ياخد وقته النهاردة,0.8381141
الحمد لله أن هناك مكان واحد على الأقل حيث يمكننا أن نثقب في سلام.,إحنا هنا بإسم السلام و إيه ما بنعمله بيبقى عشان مصلحة السلام,0.7586473
خدم لمدة خمس سنوات مع حارس الكواكب.,خدم لمدة خمس سنين مع حرس الكواكب.,0.97188914
-و لكن اعتقد اننا نستطيع التعامل مع ذلك,بس بأعتقد اننا ممكن نتصرف فيه,0.8839067
ستيف كان يكتشف انه اقناع الناس بأن,ستيف كان بيكتشف إنه إقناع الناس باللي,0.94222134
أو خيار آخر هو أنني يمكن أن تترك.,وهل يصح أن أرحل..! أنا فين,0.7787323
ذلك مايرغبوا أن تعتقدونه,يعني، أنت تصدق هذا دلوقتي، أ صح؟,0.7868854
يا رفاق .. مازلنا سنرى بعضنا طوال الوقت وسنتحدث عبر الهاتف,اه، احنا بنكلم بعض طول الوقت.,0.72793484
أم أنك تفضل البقاء هنا؟,إنت بتعمل إيه هنا بقى...؟,0.7729938
